token,count
na,43627
ya,43361
eza,19458
ba,11065
oyo,10502
yango,9239
langi,8569
pe,7321
ezali,7171
awa,7073
moko,5742
namoni,5192
pembe,4021
kati,3887
kasi,3692
liboso,3534
kitoko,3100
ndako,3007
nazomona,2770
likolo,2645
biloko,2361
biso,2353
komona,2279
ye,2276
moni,2207
alati,2174
bana,2133
bango,2123
mibale,2042
wana,2035
ebele,2015
esika,1974
boye,1961
mwasi,1856
pembeni,1772
mwa,1758
bato,1667
neti,1663
baza,1626
nde,1601
mosusu,1580
balabala,1546
pondu,1491
tomoni,1451
te,1446
mwana,1416
aza,1397
bongo,1377
mobali,1370
motuka,1303
