token,count
kuti,8064
pane,7519
ruvara,5878
uye,5235
ine,4356
vanhu,3610
kune,2860
iyi,2327
iri,2320
mune,2203
nzvimbo,2159
miti,2146
ane,2005
vari,1975
akapfeka,1940
rine,1877
uyu,1854
vamwe,1823
motokari,1794
pasi,1776
ari,1712
une,1692
mashizha,1637
ruchena,1631
mugwagwa,1566
imwe,1509
mukati,1483
kana,1422
pamusoro,1357
kufamba,1327
rutema,1228
siyana,1200
zvinhu,1189
dzine,1137
zvakanaka,1136
uyewo,1129
chine,1112
vakapfeka,1102
inoratidza,1095
maruva,1032
hembe,1029
pakati,1022
mumwe,1019
parutivi,1003
mamwe,998
murume,996
mumugwagwa,975
dziri,964
imba,952
vakamira,928
